package,category,source,description
ggtern,Visualisation (ggplot2 extensions),CRAN,Ternary diagrams in ggplot2
ggwordcloud,Visualisation (ggplot2 extensions),CRAN,Word cloud geom for ggplot2
gh,Package development & workflow,CRAN,GitHub API client
gitcreds,Package development & workflow,CRAN,Git credential store access
GlobalOptions,Miscellaneous utilities,CRAN,Global options management
globals,Parallel & performance,CRAN,Identify global variables in R expressions
glue,Tidyverse & core data,CRAN,String interpolation with {variables}
gmp,Maths & numerical,CRAN,Multiple precision arithmetic
goftest,Statistics & modelling,CRAN,Goodness-of-fit tests
GPArotation,Statistics & modelling,CRAN,Factor rotation for psych/factanal
gplots,Visualisation (other),CRAN,Miscellaneous plotting tools
graphlayouts,Network & graph analysis,CRAN,Layout algorithms for ggraph
gratia,Statistics & modelling,CRAN,ggplot2-based GAM visualisation
gridBase,Visualisation (other),CRAN,Integration of base and grid graphics
gridExtra,Visualisation (ggplot2 extensions),CRAN,Arrange multiple grid grobs/plots
gridGraphics,Visualisation (ggplot2 extensions),CRAN,Convert base graphics to grid
gridtext,Visualisation (ggplot2 extensions),CRAN,Rich text rendering in grid/ggplot2
grr,Data wrangling utilities,CRAN,Utility functions (getRecordRange etc.)
gson,Data import / export,CRAN,Read/write GSON format (for clusterProfiler)
gsubfn,Text mining & NLP,CRAN,Utilities for strings and function arguments
gt,Reporting & documents,CRAN,Publication-quality tables
gtable,Visualisation (ggplot2 extensions),CRAN,Arrange grobs in tables (used by ggplot2)
gtExtras,Reporting & documents,CRAN,Extra gt table utilities
gtools,Miscellaneous utilities,CRAN,Miscellaneous tools (permutations combinations etc.)
hash,Data wrangling utilities,CRAN,Hash/dictionary data structure
haven,Data import / export,CRAN,Read SPSS Stata SAS files
hdf5r,Data import / export,CRAN,Interface to HDF5 file format
heatmaply,Visualisation (other),CRAN,Interactive heatmaps using plotly
here,Package development & workflow,CRAN,Project-relative file paths
hexbin,Visualisation (other),CRAN,Hexagonal binning for scatter plots
highr,Reporting & documents,CRAN,Syntax highlighting for R code
Hmisc,Statistics & modelling,CRAN,Harrell's miscellaneous: many stat utilities
hms,Miscellaneous utilities,CRAN,Time-of-day values
htmlTable,Reporting & documents,CRAN,HTML tables with styling
htmltools,Reporting & documents,CRAN,HTML generation tools
htmlwidgets,Reporting & documents,CRAN,Framework for R HTML widgets
httpuv,Miscellaneous utilities,CRAN,HTTP and WebSocket server
httr,Miscellaneous utilities,CRAN,HTTP requests (older wraps curl)
httr2,Miscellaneous utilities,CRAN,HTTP requests (modern functional API)
ICC,Statistics & modelling,CRAN,Intraclass correlation coefficients
IDPmisc,Statistics & modelling,CRAN,Utilities for large datasets (esp. IDP)
ids,Miscellaneous utilities,CRAN,Generate random identifiers
igraph,Network & graph analysis,CRAN,Network analysis and visualisation
immunarch,Immune & clinical data,CRAN,Immune repertoire (BCR/TCR) analysis
immundata,Immune & clinical data,CRAN,Datasets for immunarch
ini,Miscellaneous utilities,CRAN,Read/write INI config files
insight,Statistics & modelling,CRAN,Extract information from model objects
interp,Spatial & GIS,CRAN,Bivariate interpolation (Delaunay)
IRdisplay,Miscellaneous utilities,CRAN,Display methods for Jupyter/IRkernel
IRkernel,Miscellaneous utilities,CRAN,R kernel for Jupyter
isoband,Maths & numerical,CRAN,Isolines and isobands (used by ggplot2)
iterators,Parallel & performance,CRAN,Iterator objects for R
itsadug,Statistics & modelling,CRAN,Interpreting time series and autocorrelated data in GAMs
janeaustenr,Text mining & NLP,CRAN,Jane Austen texts for examples
janitor,Data wrangling utilities,CRAN,Clean data: column names tabyl dupes
jpeg,Miscellaneous utilities,CRAN,Read/write JPEG images
jquerylib,Reporting & documents,CRAN,jQuery JavaScript library
jsonlite,Data import / export,CRAN,Fast JSON parser and generator
juicyjuice,Miscellaneous utilities,CRAN,CSS selector utilities
kableExtra,Reporting & documents,CRAN,Extend knitr::kable tables
knitr,Reporting & documents,CRAN,Literate programming: embed R in documents
L1pack,Maths & numerical,CRAN,L1 estimation and regression
labeling,Visualisation (ggplot2 extensions),CRAN,Axis labelling algorithms
lambda.r,Miscellaneous utilities,CRAN,Functional programming with pattern matching
languageserver,Package development & workflow,CRAN,R language server for IDEs
later,Miscellaneous utilities,CRAN,Schedule R code to run later
latex2exp,Visualisation (ggplot2 extensions),CRAN,Use LaTeX math in ggplot2 labels
latticeExtra,Visualisation (other),CRAN,Extra graphical utilities for lattice
lazyeval,Miscellaneous utilities,CRAN,Lazy (non-standard) evaluation tools
leaps,Statistics & modelling,CRAN,Exhaustive linear model subset selection
lexicon,Text mining & NLP,CRAN,Lexicon datasets (sentiment profanity etc.)
librarian,Package development & workflow,CRAN,Package installing and loading
lifecycle,Tidyverse & core data,CRAN,Deprecation management for package functions
lintr,Package development & workflow,CRAN,Static analysis / code linting
listenv,Parallel & performance,CRAN,Environments that behave as lists (for future)
litedown,Reporting & documents,CRAN,Lightweight R Markdown alternative
lme4,Statistics & modelling,CRAN,Linear/generalised mixed-effects models
lmerTest,Statistics & modelling,CRAN,P-values for lme4 mixed models
lmodel2,Statistics & modelling,CRAN,Model II (major axis) regression
lmtest,Statistics & modelling,CRAN,Tests for linear regression models
locfit,Statistics & modelling,CRAN,Local regression likelihood and density estimation
locfdr,Statistics & modelling,CRAN,Local false discovery rate estimation
lpSolve,Maths & numerical,CRAN,Linear and integer programming
lubridate,Tidyverse & core data,CRAN,Date/time parsing and arithmetic
magick,Visualisation (other),CRAN,Image processing (ImageMagick)
magrittr,Tidyverse & core data,CRAN,Pipe operators including %>%
mapproj,Spatial & GIS,CRAN,Map projections
maps,Spatial & GIS,CRAN,Draw geographical maps
marginaleffects,Statistics & modelling,CRAN,Marginal effects and contrasts for many models
markdown,Reporting & documents,CRAN,Markdown rendering
mathjaxr,Reporting & documents,CRAN,MathJax in R documentation
MatrixModels,Maths & numerical,CRAN,Modelling with sparse/dense matrix classes
matrixStats,Maths & numerical,CRAN,Fast row/column statistics for matrices
mediation,Statistics & modelling,CRAN,Causal mediation analysis
memoise,Miscellaneous utilities,CRAN,Memoize (cache) R function results
metap,Statistics & modelling,CRAN,Meta-analysis of significance values
mgsub,Text mining & NLP,CRAN,Multiple simultaneous string substitution
microbenchmark,Parallel & performance,CRAN,Precise timing of R expressions
migest,Statistics & modelling,CRAN,Methods for estimating migration
migration.indices,Statistics & modelling,CRAN,Migration concentration indices
mime,Miscellaneous utilities,CRAN,MIME type lookups
miniUI,Reporting & documents,CRAN,Small Shiny UI layouts (gadgets)
minqa,Statistics & modelling,CRAN,Derivative-free optimisation (bobyqa newuoa)
mipfp,Statistics & modelling,CRAN,Iterative proportional fitting/fractions
mirai,Parallel & performance,CRAN,Minimalist async tasks using nanonext
misc3d,Visualisation (other),CRAN,3D plotting utilities
mitools,Statistics & modelling,CRAN,Tools for multiple imputation inference
mixtools,Statistics & modelling,CRAN,Mixture model fitting
mnormt,Statistics & modelling,CRAN,Multivariate normal and t distributions
modeltools,Statistics & modelling,CRAN,Tools and classes for statistical models
modEvA,Spatial & GIS,CRAN,Model evaluation for species distribution models
mongolite,Data import / export,CRAN,MongoDB client
msigdbr,Pathway & functional enrichment,CRAN,MSigDB gene sets in R
multcomp,Statistics & modelling,CRAN,Multiple comparison procedures
multcompView,Statistics & modelling,CRAN,Visualise multiple comparison results
munsell,Visualisation (ggplot2 extensions),CRAN,Munsell colour system utilities
mutoss,Statistics & modelling,CRAN,Multiple testing procedures
mvnfast,Statistics & modelling,CRAN,Fast multivariate normal density/sampling
mvtnorm,Statistics & modelling,CRAN,Multivariate normal/t probabilities and quantiles
nanonext,Parallel & performance,CRAN,NNG (nanomsg) messaging library
network,Network & graph analysis,CRAN,Network data structures (statnet)
networkD3,Visualisation (other),CRAN,D3-based interactive network/Sankey plots
nloptr,Statistics & modelling,CRAN,Interface to NLopt optimisation library
NLP,Text mining & NLP,CRAN,Natural language processing infrastructure
nnls,Maths & numerical,CRAN,Non-negative least squares
nor1mix,Statistics & modelling,CRAN,Normal (1-d) mixture models
numDeriv,Statistics & modelling,CRAN,Numerical gradient/Hessian computation
officer,Reporting & documents,CRAN,Create/edit Word and PowerPoint documents
openssl,Miscellaneous utilities,CRAN,Cryptography and SSL/TLS
openxlsx,Data import / export,CRAN,Read/write/format Excel files
ordinal,Statistics & modelling,CRAN,Ordinal regression models
osqp,Maths & numerical,CRAN,Quadratic programming solver
otel,Miscellaneous utilities,CRAN,OpenTelemetry tracing for R
pak,Package development & workflow,CRAN,Fast package installer with dependency solving
paletteer,Visualisation (ggplot2 extensions),CRAN,Meta-package: access hundreds of palettes
parallelly,Parallel & performance,CRAN,Utilities for parallel/future
patchwork,Visualisation (ggplot2 extensions),CRAN,Combine multiple ggplots into one figure
pbdZMQ,Miscellaneous utilities,CRAN,ZeroMQ interface (for IRkernel)
pbkrtest,Statistics & modelling,CRAN,Parametric bootstrap for mixed models
permute,Statistics & modelling,CRAN,Restricted permutations for community ecology
pheatmap,Visualisation (other),CRAN,Pretty heatmaps with clustering
pillar,Tidyverse & core data,CRAN,Pretty printing for tibbles
pkgbuild,Package development & workflow,CRAN,Build R packages
pkgconfig,Miscellaneous utilities,CRAN,Private configuration for packages
pkgdown,Package development & workflow,CRAN,Build documentation websites for R packages
pkgload,Package development & workflow,CRAN,Load packages in development
plogr,Miscellaneous utilities,CRAN,C++ logging library for R packages
plotfunctions,Visualisation (other),CRAN,Utility functions for plotting (GAMs)
plotly,Visualisation (other),CRAN,Interactive web-based plots via plotly.js
plotrix,Visualisation (other),CRAN,Miscellaneous base graphics extensions
plotscale,Visualisation (ggplot2 extensions),CRAN,Scale plots to exact dimensions
plyr,Data wrangling utilities,CRAN,Split-apply-combine (older use dplyr)
png,Miscellaneous utilities,CRAN,Read/write PNG images
polyclip,Maths & numerical,CRAN,Polygon clipping operations
polylabelr,Maths & numerical,CRAN,Find pole of inaccessibility for polygons
polynom,Maths & numerical,CRAN,Polynomial arithmetic
praise,Package development & workflow,CRAN,Positive reinforcement for test output
prettyunits,Miscellaneous utilities,CRAN,Human-readable sizes and time spans
prismatic,Visualisation (ggplot2 extensions),CRAN,Colour manipulation utilities
processx,Miscellaneous utilities,CRAN,Run system processes from R
productplots,Data wrangling utilities,CRAN,Product plots for categorical data
profvis,Package development & workflow,CRAN,Profile and visualise R code performance
progress,Miscellaneous utilities,CRAN,Terminal progress bars
progressr,Parallel & performance,CRAN,Unified progress reporting
promises,Miscellaneous utilities,CRAN,Async promises for R
proto,Miscellaneous utilities,CRAN,Prototype object-based programming
ps,Miscellaneous utilities,CRAN,Process utilities
pscl,Statistics & modelling,CRAN,Political science models: zero-inflated hurdle
psych,Statistics & modelling,CRAN,Psychometrics: factor analysis reliability
purrr,Tidyverse & core data,CRAN,Functional programming: map reduce walk
pwr,Statistics & modelling,CRAN,Power analysis for common statistical tests
qap,Maths & numerical,CRAN,Quadratic assignment problem solvers
qdapRegex,Text mining & NLP,CRAN,Regular expression tools for text analysis
qqconf,Statistics & modelling,CRAN,Confidence bands for QQ plots
quadprog,Maths & numerical,CRAN,Quadratic programming
quantreg,Statistics & modelling,CRAN,Quantile regression
R.cache,Miscellaneous utilities,CRAN,Caching with automatic key generation
R.methodsS3,Miscellaneous utilities,CRAN,S3 method utilities
R.oo,Miscellaneous utilities,CRAN,Object-oriented programming with S3
R.utils,Miscellaneous utilities,CRAN,Many utility functions
R6,Miscellaneous utilities,CRAN,Encapsulated object-oriented programming
ragg,Reporting & documents,CRAN,AGG-based graphics device (fast PNG/TIFF)
randomcoloR,Visualisation (ggplot2 extensions),CRAN,Generate random distinct colours
rappdirs,Miscellaneous utilities,CRAN,Platform-appropriate data directories
rbibutils,Reporting & documents,CRAN,Convert bibliography formats
rcmdcheck,Package development & workflow,CRAN,Run R CMD check from R
RColorBrewer,Visualisation (ggplot2 extensions),CRAN,ColorBrewer palettes
Rcpp,Maths & numerical,CRAN,Seamless R and C++ integration
RcppArmadillo,Maths & numerical,CRAN,Armadillo C++ linear algebra
RcppEigen,Maths & numerical,CRAN,Eigen C++ linear algebra
RcppProgress,Maths & numerical,CRAN,Progress bar for Rcpp code
RcppTOML,Maths & numerical,CRAN,TOML config parsing via Rcpp
RCurl,Miscellaneous utilities,CRAN,General network client interface (libcurl)
Rdpack,Reporting & documents,CRAN,Insert references in Rd documentation
reactable,Reporting & documents,CRAN,Interactive HTML tables
reactR,Reporting & documents,CRAN,React.js bindings for R
readr,Tidyverse & core data,CRAN,Fast CSV/TSV reading
readxl,Data import / export,CRAN,Read Excel .xls and .xlsx files
reformulas,Statistics & modelling,CRAN,Formula utilities for mixed-model packages
registry,Miscellaneous utilities,CRAN,Registry infrastructure for R
rematch,Miscellaneous utilities,CRAN,Match regular expressions with a nicer API
rematch2,Miscellaneous utilities,CRAN,Tidy output from regular expression matching
remotes,Package development & workflow,CRAN,Install packages from remote sources
rentrez,Genomic ranges & annotation,CRAN,NCBI Entrez utilities
repr,Miscellaneous utilities,CRAN,Serialisable representations for Jupyter
reprex,Package development & workflow,CRAN,Reproducible examples for sharing
reshape,Data wrangling utilities,CRAN,Even older reshape (predecessor to reshape2)
reshape2,Data wrangling utilities,CRAN,Melt and cast data (older use tidyr)
restfulr,Miscellaneous utilities,CRAN,R interface to RESTful web services
reticulate,Miscellaneous utilities,CRAN,Python interface for R
rex,Miscellaneous utilities,CRAN,Friendly regular expressions
rgl,Visualisation (other),CRAN,3D interactive visualisation
RhpcBLASctl,Parallel & performance,CRAN,Control number of BLAS threads
rio,Data import / export,CRAN,Swiss-army import/export: delegates by file extension
rlist,Data import / export,CRAN,Tools for working with lists
rlang,Tidyverse & core data,CRAN,Low-level R language tools used by tidyverse
rmarkdown,Reporting & documents,CRAN,R Markdown document compilation
Rmisc,Statistics & modelling,CRAN,Confidence intervals SE multi-plot layouts
Rmpfr,Maths & numerical,CRAN,Arbitrary precision using MPFR
rngtools,Parallel & performance,CRAN,Utilities for RNG streams
robustbase,Statistics & modelling,CRAN,Basic robust statistics
ROCR,Statistics & modelling,CRAN,ROC curve analysis and performance visualisation
roxygen2,Package development & workflow,CRAN,Documentation from R comments
rprojroot,Package development & workflow,CRAN,Find project root directory
rsample,Data wrangling utilities,CRAN,Resampling infrastructure for tidymodels
Rsolnp,Statistics & modelling,CRAN,Nonlinear optimisation (SQP)
RSQLite,Data import / export,CRAN,SQLite database driver
rstatix,Statistics & modelling,CRAN,Pipe-friendly statistical tests
rstudioapi,Miscellaneous utilities,CRAN,Access RStudio API
RUnit,Package development & workflow,CRAN,Unit testing framework (older)
rversions,Package development & workflow,CRAN,Query R and Bioc version history
rvest,Miscellaneous utilities,CRAN,Web scraping
s2,Spatial & GIS,CRAN,Spherical geometry (Google S2 library)
S7,Miscellaneous utilities,CRAN,New OOP system for R (successor to R5/S4)
sandwich,Statistics & modelling,CRAN,Robust covariance matrix estimators
sass,Reporting & documents,CRAN,Sass CSS preprocessor for R
scales,Visualisation (ggplot2 extensions),CRAN,Scale functions for ggplot2 axes and legends
scattermore,Visualisation (ggplot2 extensions),CRAN,Fast rasterised scatter plots
scatterpie,Visualisation (ggplot2 extensions),CRAN,Pie chart scatter plots
scatterplot3d,Visualisation (other),CRAN,Static 3D scatter plots
scCustomize,Machine learning & dimensionality reduction,CRAN,Customised Seurat/scRNA visualisation
scrime,Statistics & modelling,CRAN,Analysis of high-dimensional categorical data
scs,Maths & numerical,CRAN,Splitting conic solver
sctransform,Machine learning & dimensionality reduction,CRAN,Variance-stabilising transformation for scRNA
segmented,Statistics & modelling,CRAN,Segmented/breakpoint regression
selectr,Miscellaneous utilities,CRAN,CSS selector to XPath translator
seriation,Machine learning & dimensionality reduction,CRAN,Seriation/ordering for matrices and data
sessioninfo,Package development & workflow,CRAN,Print session info
Seurat,Single-cell & genomics,CRAN,Single-cell RNA-seq analysis
SeuratObject,Single-cell & genomics,CRAN,Data structures for Seurat
sf,Spatial & GIS,CRAN,Simple features: vector spatial data
shades,Visualisation (ggplot2 extensions),CRAN,Simple colour manipulation
shadowtext,Visualisation (ggplot2 extensions),CRAN,Text geom with drop shadow
shape,Visualisation (other),CRAN,Functions for plotting shapes
shiny,Reporting & documents,CRAN,Interactive web applications
shinythemes,Reporting & documents,CRAN,Bootstrap themes for Shiny
sitmo,Maths & numerical,CRAN,Parallel RNG (for Rcpp)
slam,Maths & numerical,CRAN,Sparse lightweight arrays and matrices
smplot2,Visualisation (ggplot2 extensions),CRAN,Summarise and visualise data with ggplot2
sn,Statistics & modelling,CRAN,Skew-normal and skew-t distributions
sna,Network & graph analysis,CRAN,Social network analysis
SnowballC,Text mining & NLP,CRAN,Snowball stemmer
sourcetools,Miscellaneous utilities,CRAN,Read and tokenise R source code
sp,Spatial & GIS,CRAN,Older spatial data classes
spaa,Spatial & GIS,CRAN,Species association and diversity analysis
spam,Spatial & GIS,CRAN,Sparse matrix operations
SparseM,Maths & numerical,CRAN,Sparse matrix classes and methods
spatstat.data,Spatial & GIS,CRAN,Datasets for spatstat
spatstat.explore,Spatial & GIS,CRAN,EDA for spatial point patterns
spatstat.geom,Spatial & GIS,CRAN,Geometry for spatstat
spatstat.random,Spatial & GIS,CRAN,Simulation for spatstat
